timestamp_iso,mode,front_distance_cm,left_distance_cm,right_distance_cm,executed_motion,executed_speed,next_motion,next_speed,notes,stuck_triggered,queue_len
2025-12-03T16:09:09,REMOTE,25.38,50.46,32.37,forward,0.70,idle,0.00,remote_forward,0,0
2025-12-03T16:09:10,REMOTE,27.27,51.27,48.23,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:10,REMOTE,25.90,49.99,50.59,right,0.45,idle,0.00,remote_right,0,1
2025-12-03T16:09:11,REMOTE,26.83,49.66,45.32,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:12,REMOTE,26.07,50.16,18.61,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:12,REMOTE,24.44,49.88,45.19,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:13,REMOTE,26.11,50.21,48.11,right,0.45,idle,0.00,remote_right,0,1
2025-12-03T16:09:13,REMOTE,26.76,50.20,48.58,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:14,REMOTE,25.38,50.16,46.65,right,0.45,idle,0.00,remote_right,0,1
2025-12-03T16:09:15,REMOTE,24.90,50.18,43.35,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:15,REMOTE,25.38,50.16,44.38,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:16,REMOTE,26.80,50.22,44.55,left,0.45,idle,0.00,remote_left,0,1
2025-12-03T16:09:16,REMOTE,24.91,50.16,47.38,forward,0.70,idle,0.00,remote_forward,0,1
2025-12-03T16:09:17,REMOTE,25.34,50.16,46.65,right,0.45,idle,0.00,remote_right,0,1
2025-12-03T16:09:18,REMOTE,25.34,50.16,43.56,forward,0.70,idle,0.00,remote_forward,0,0
