timestamp_iso,mode,front_distance_cm,left_distance_cm,right_distance_cm,executed_motion,executed_speed,next_motion,next_speed,notes,stuck_triggered,queue_len
2025-11-12T16:17:24,AUTO,3.60,64.74,32.86,stop,0.00,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:24,AUTO,3.60,105.22,131.45,right,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:25,AUTO,3.62,240.10,108.39,right,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:26,AUTO,3.60,63.46,36.62,right,0.60,backward,0.60,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:17:26,AUTO,3.60,54.54,47.93,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:27,AUTO,3.62,53.59,56.94,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:28,AUTO,3.60,40.73,68.26,backward,0.60,left,0.60,,0,1
2025-11-12T16:17:28,AUTO,3.60,78.03,68.09,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:29,AUTO,3.60,66.03,79.32,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:30,AUTO,3.60,40.99,65.00,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:30,AUTO,3.60,141.57,40.82,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:31,AUTO,3.60,84.38,73.93,left,0.60,backward,0.60,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:17:32,AUTO,3.60,28.47,71.52,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:32,AUTO,3.60,22.72,205.80,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:33,AUTO,3.60,43.82,52.14,backward,0.60,left,0.60,,0,1
2025-11-12T16:17:33,AUTO,3.60,43.65,51.79,left,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:34,AUTO,3.60,42.12,50.94,right,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:35,AUTO,3.60,42.10,50.59,right,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:35,AUTO,3.60,42.96,50.25,left,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:36,AUTO,3.60,44.42,50.42,right,0.60,backward,0.60,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:17:37,AUTO,3.60,27.35,48.79,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:37,AUTO,3.60,26.75,50.59,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:38,AUTO,3.60,,63.63,backward,0.60,left,0.60,,0,1
2025-11-12T16:17:39,AUTO,3.86,52.48,68.51,left,0.60,left,0.60,obstacle@3.9cm,0,0
2025-11-12T16:17:39,AUTO,3.60,18.97,68.17,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:40,AUTO,3.60,28.21,65.60,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:41,AUTO,3.60,31.64,63.20,left,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:41,AUTO,3.60,41.67,53.51,right,0.60,backward,0.60,STUCK: Δ=0.0cm/4steps -> back 3 + left 1,1,2
2025-11-12T16:17:42,AUTO,3.60,46.39,45.28,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:42,AUTO,3.60,41.16,44.42,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:43,AUTO,3.60,39.62,44.76,backward,0.60,left,0.60,,0,1
2025-11-12T16:17:44,AUTO,3.60,49.73,75.12,left,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:44,AUTO,3.60,44.78,42.70,right,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:45,AUTO,3.60,217.12,77.43,left,0.60,left,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:46,AUTO,3.60,75.80,16.64,left,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:46,AUTO,3.60,46.82,74.53,right,0.60,backward,0.60,STUCK: Δ=0.0cm/4steps -> back 3 + right 1,1,2
2025-11-12T16:17:47,AUTO,3.60,42.10,109.07,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:48,AUTO,3.60,41.85,119.79,backward,0.60,backward,0.60,,0,2
2025-11-12T16:17:48,AUTO,3.60,43.05,139.52,backward,0.60,right,0.60,,0,1
2025-11-12T16:17:49,AUTO,3.60,75.20,7.55,right,0.60,right,0.60,obstacle@3.6cm,0,0
2025-11-12T16:17:50,AUTO,3.60,38.66,37.56,right,0.60,left,0.60,obstacle@3.6cm,0,0
